Name	Sweep (T1)			Name	Sweep (T2)			Name	Sweep (T3)			Name	Sweep (T4)	
Date	2 / 6 / 2012			Date	2 / 6 / 2012			Date	2 / 6 / 2012			Date	2 / 6 / 2012	
Time	12:05:03			Time	12:05:03			Time	12:05:03			Time	12:05:03	
Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028	
Firmware Version	V1.55			Firmware Version	V1.55			Firmware Version	V1.55			Firmware Version	V1.55	
Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer	
Meas Mode	Vector			Meas Mode	Vector			Meas Mode	Vector			Meas Mode	Vector	
Bridge Mode	S11			Bridge Mode	S11			Bridge Mode	S21			Bridge Mode	S21	
Format	Magnitude			Format	Phase			Format	Magnitude			Format	Phase	
Calibration State	Interp			Calibration State	Interp			Calibration State	Interp			Calibration State	Interp	
Aperture Steps	- - -			Aperture Steps	- - -			Aperture Steps	- - -			Aperture Steps	- - -	
Uplink	- - -			Uplink	- - -			Uplink	- - -			Uplink	- - -	
Downlink	- - -			Downlink	- - -			Downlink	- - -			Downlink	- - -	
Channel	- - -			Channel	- - -			Channel	- - -			Channel	- - -	
Phase Unwrap	0			Phase Unwrap	0			Phase Unwrap	0			Phase Unwrap	0	
Suppression	Off			Suppression	Off			Suppression	Off			Suppression	Off	
Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz
Frequency Offset	0	Hz		Frequency Offset	0	Hz		Frequency Offset	0	Hz		Frequency Offset	0	Hz
Span	1000000000	Hz		Span	1000000000	Hz		Span	1000000000	Hz		Span	1000000000	Hz
Ref Level	0,0	dB		Ref Level	0,0	°		Ref Level	0,0	dB		Ref Level	0,0	°
Ref Offset	0,0	dB		Ref Offset	- - -			Ref Offset	0,0	dB		Ref Offset	- - -	
Ref Position	1			Ref Position	0,5			Ref Position	1			Ref Position	0,5	
Range	20	dB		Range	360	°		Range	10	dB		Range	360	°
RF Attenuation	Manual			RF Attenuation	Manual			RF Attenuation	Manual			RF Attenuation	Manual	
RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB
Preamplifier	Off			Preamplifier	Off			Preamplifier	Off			Preamplifier	Off	
RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm	
RBW	10000	Hz		RBW	10000	Hz		RBW	10000	Hz		RBW	10000	Hz
SWT	0,125	s		SWT	0,125	s		SWT	0,125	s		SWT	0,125	s
Trigger Mode	Free Run			Trigger Mode	Free Run			Trigger Mode	Free Run			Trigger Mode	Free Run	
Trigger Level	- - -			Trigger Level	- - -			Trigger Level	- - -			Trigger Level	- - -	
Trigger Delay	- - -			Trigger Delay	- - -			Trigger Delay	- - -			Trigger Delay	- - -	
Trace Mode	Clear / Write			Trace Mode	Clear / Write			Trace Mode	Clear / Write			Trace Mode	Clear / Write	
Trace Detector	Sample			Trace Detector	Sample			Trace Detector	Sample			Trace Detector	Sample	
Limit Line 1	- - -			Limit Line 1	- - -			Limit Line 1	- - -			Limit Line 1	- - -	
Limit Line 2	- - -			Limit Line 2	- - -			Limit Line 2	- - -			Limit Line 2	- - -	
Operator	- - -			Operator	- - -			Operator	- - -			Operator	- - -	
Result Limit Line 1	- - -			Result Limit Line 1	- - -			Result Limit Line 1	- - -			Result Limit Line 1	- - -	
Result Limit Line 2	- - -			Result Limit Line 2	- - -			Result Limit Line 2	- - -			Result Limit Line 2	- - -	
Average Count	- - -			Average Count	- - -			Average Count	- - -			Average Count	- - -	
						

Freq. [Hz]	Magnitude [dB]	 		Freq. [Hz]	Phase [°]	 		Freq. [Hz]	Magnitude [dB]	 		Freq. [Hz]	Phase [°]	 
2000000000	-4,35527420043945	 		2000000000	156,577850341797	 		2000000000	-3,84429740905762	 		2000000000	9,05584526062012	 
2001587301,5873	-4,35524415969849	 		2001587301,5873	156,577941894531	 		2001587301,5873	-3,8443455696106	 		2001587301,5873	9,05623626708984	 
2003174603,1746	-4,43721008300781	 		2003174603,1746	156,323547363281	 		2003174603,1746	-3,71216940879822	 		2003174603,1746	7,98022937774658	 
2004761904,7619	-4,49376153945923	 		2004761904,7619	155,722503662109	 		2004761904,7619	-3,62294149398804	 		2004761904,7619	6,96997356414795	 
2006349206,34921	-4,55003356933594	 		2006349206,34921	155,380798339844	 		2006349206,34921	-3,53977036476135	 		2006349206,34921	5,93598604202271	 
2007936507,93651	-4,60084056854248	 		2007936507,93651	155,197647094727	 		2007936507,93651	-3,4732301235199	 		2007936507,93651	4,83758163452148	 
2009523809,52381	-4,64770221710205	 		2009523809,52381	155,046875	 		2009523809,52381	-3,41980147361755	 		2009523809,52381	3,91429042816162	 
2011111111,11111	-4,68807554244995	 		2011111111,11111	154,666275024414	 		2011111111,11111	-3,3835768699646	 		2011111111,11111	2,7720160484314	 
2012698412,69841	-4,72486448287964	 		2012698412,69841	154,463012695313	 		2012698412,69841	-3,35951161384583	 		2012698412,69841	1,89147114753723	 
2014285714,28571	-4,748215675354	 		2014285714,28571	154,376403808594	 		2014285714,28571	-3,35072374343872	 		2014285714,28571	0,882385969161987	 
2015873015,87302	-4,7578444480896	 		2015873015,87302	154,31364440918	 		2015873015,87302	-3,35404276847839	 		2015873015,87302	2,0221471786499E-03	 
2017460317,46032	-4,76195096969604	 		2017460317,46032	154,128814697266	 		2017460317,46032	-3,37239170074463	 		2017460317,46032	-1,11790919303894	 
2019047619,04762	-4,75756883621216	 		2019047619,04762	154,059310913086	 		2019047619,04762	-3,40154027938843	 		2019047619,04762	-1,89005661010742	 
2020634920,63492	-4,74956798553467	 		2020634920,63492	153,895904541016	 		2020634920,63492	-3,4418420791626	 		2020634920,63492	-2,85209798812866	 
2022222222,22222	-4,72631978988647	 		2022222222,22222	153,818954467773	 		2022222222,22222	-3,49229574203491	 		2022222222,22222	-3,47218012809753	 
2023809523,80952	-4,68637084960938	 		2023809523,80952	153,596069335938	 		2023809523,80952	-3,55117273330688	 		2023809523,80952	-4,1723518371582	 
2025396825,39683	-4,6432991027832	 		2025396825,39683	153,270767211914	 		2025396825,39683	-3,6156210899353	 		2025396825,39683	-4,70182180404663	 
2026984126,98413	-4,60053539276123	 		2026984126,98413	153,174896240234	 		2026984126,98413	-3,68398690223694	 		2026984126,98413	-5,11919212341309	 
2028571428,57143	-4,54207563400269	 		2028571428,57143	152,820007324219	 		2028571428,57143	-3,75454163551331	 		2028571428,57143	-5,58062314987183	 
2030158730,15873	-4,48693609237671	 		2030158730,15873	152,576232910156	 		2030158730,15873	-3,82343053817749	 		2030158730,15873	-5,89153289794922	 
2031746031,74603	-4,43162536621094	 		2031746031,74603	152,040512084961	 		2031746031,74603	-3,88916015625	 		2031746031,74603	-5,91548824310303	 
2033333333,33333	-4,37309217453003	 		2033333333,33333	151,554138183594	 		2033333333,33333	-3,95017695426941	 		2033333333,33333	-5,89191579818726	 
2034920634,92063	-4,30817556381226	 		2034920634,92063	150,797988891602	 		2034920634,92063	-4,00305461883545	 		2034920634,92063	-6,04501438140869	 
2036507936,50794	-4,26545000076294	 		2036507936,50794	150,368804931641	 		2036507936,50794	-4,04935312271118	 		2036507936,50794	-5,93695449829102	 
2038095238,09524	-4,21699523925781	 		2038095238,09524	149,584915161133	 		2038095238,09524	-4,08083057403564	 		2038095238,09524	-5,69694805145264	 
2039682539,68254	-4,16920137405396	 		2039682539,68254	148,886001586914	 		2039682539,68254	-4,10701608657837	 		2039682539,68254	-5,69359683990479	 
2041269841,26984	-4,13781595230103	 		2041269841,26984	148,290069580078	 		2041269841,26984	-4,11931228637695	 		2041269841,26984	-5,40897178649902	 
2042857142,85714	-4,11736679077148	 		2042857142,85714	147,440399169922	 		2042857142,85714	-4,12024164199829	 		2042857142,85714	-5,25571203231812	 
2044444444,44444	-4,09785270690918	 		2044444444,44444	146,714553833008	 		2044444444,44444	-4,11011648178101	 		2044444444,44444	-4,86226415634155	 
2046031746,03175	-4,08329439163208	 		2046031746,03175	145,794982910156	 		2046031746,03175	-4,09097623825073	 		2046031746,03175	-4,72878313064575	 
2047619047,61905	-4,07810974121094	 		2047619047,61905	145,067840576172	 		2047619047,61905	-4,06105804443359	 		2047619047,61905	-4,44490957260132	 
2049206349,20635	-4,09557580947876	 		2049206349,20635	144,217788696289	 		2049206349,20635	-4,02319669723511	 		2049206349,20635	-4,31256628036499	 
2050793650,79365	-4,11279249191284	 		2050793650,79365	143,316253662109	 		2050793650,79365	-3,97394132614136	 		2050793650,79365	-4,15743780136108	 
2052380952,38095	-4,13497066497803	 		2052380952,38095	142,601623535156	 		2052380952,38095	-3,91956281661987	 		2052380952,38095	-4,11122274398804	 
2053968253,96825	-4,16593360900879	 		2053968253,96825	141,922119140625	 		2053968253,96825	-3,85673308372498	 		2053968253,96825	-3,69750213623047	 
2055555555,55556	-4,20820426940918	 		2055555555,55556	141,152099609375	 		2055555555,55556	-3,78447294235229	 		2055555555,55556	-3,73448061943054	 
2057142857,14286	-4,26113891601563	 		2057142857,14286	140,397048950195	 		2057142857,14286	-3,7059280872345	 		2057142857,14286	-3,51870799064636	 
2058730158,73016	-4,31159734725952	 		2058730158,73016	139,476303100586	 		2058730158,73016	-3,61804819107056	 		2058730158,73016	-3,51503610610962	 
2060317460,31746	-4,37834692001343	 		2060317460,31746	138,810073852539	 		2060317460,31746	-3,52617645263672	 		2060317460,31746	-3,57932353019714	 
2061904761,90476	-4,45348167419434	 		2061904761,90476	138,216918945313	 		2061904761,90476	-3,42730832099915	 		2061904761,90476	-3,62458658218384	 
2063492063,49206	-4,52663850784302	 		2063492063,49206	137,605087280273	 		2063492063,49206	-3,32437133789063	 		2063492063,49206	-3,58197283744812	 
2065079365,07937	-4,6070876121521	 		2065079365,07937	137,025802612305	 		2065079365,07937	-3,21651768684387	 		2065079365,07937	-3,68944001197815	 
2066666666,66667	-4,69474363327026	 		2066666666,66667	136,579147338867	 		2066666666,66667	-3,10417532920837	 		2066666666,66667	-3,97227168083191	 
2068253968,25397	-4,78074550628662	 		2068253968,25397	136,136444091797	 		2068253968,25397	-2,98926734924316	 		2068253968,25397	-4,19388484954834	 
2069841269,84127	-4,87712669372559	 		2069841269,84127	135,653182983398	 		2069841269,84127	-2,87411570549011	 		2069841269,84127	-4,67274904251099	 
2071428571,42857	-4,96287822723389	 		2071428571,42857	135,353576660156	 		2071428571,42857	-2,75973272323608	 		2071428571,42857	-5,04707527160645	 
2073015873,01587	-5,05269336700439	 		2073015873,01587	135,140380859375	 		2073015873,01587	-2,64844393730164	 		2073015873,01587	-5,56886529922485	 
2074603174,60317	-5,13835144042969	 		2074603174,60317	134,868408203125	 		2074603174,60317	-2,53924465179443	 		2074603174,60317	-6,11877727508545	 
2076190476,19048	-5,21004724502563	 		2076190476,19048	134,817428588867	 		2076190476,19048	-2,43447256088257	 		2076190476,19048	-6,71241474151611	 
2077777777,77778	-5,30114316940308	 		2077777777,77778	134,650573730469	 		2077777777,77778	-2,33654260635376	 		2077777777,77778	-7,47875165939331	 
