Name	Sweep (T1)			Name	Sweep (T2)			Name	Sweep (T3)			Name	Sweep (T4)	
Date	2 / 6 / 2012			Date	2 / 6 / 2012			Date	2 / 6 / 2012			Date	2 / 6 / 2012	
Time	11:23:47			Time	11:23:47			Time	11:23:47			Time	11:23:47	
Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028	
Firmware Version	V1.55			Firmware Version	V1.55			Firmware Version	V1.55			Firmware Version	V1.55	
Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer	
Meas Mode	Vector			Meas Mode	Vector			Meas Mode	Vector			Meas Mode	Vector	
Bridge Mode	S11			Bridge Mode	S11			Bridge Mode	S21			Bridge Mode	S21	
Format	Magnitude			Format	Phase			Format	Magnitude			Format	Phase	
Calibration State	Interp			Calibration State	Interp			Calibration State	Interp			Calibration State	Interp	
Aperture Steps	- - -			Aperture Steps	- - -			Aperture Steps	- - -			Aperture Steps	- - -	
Uplink	- - -			Uplink	- - -			Uplink	- - -			Uplink	- - -	
Downlink	- - -			Downlink	- - -			Downlink	- - -			Downlink	- - -	
Channel	- - -			Channel	- - -			Channel	- - -			Channel	- - -	
Phase Unwrap	0			Phase Unwrap	0			Phase Unwrap	0			Phase Unwrap	0	
Suppression	Off			Suppression	Off			Suppression	Off			Suppression	Off	
Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz
Frequency Offset	0	Hz		Frequency Offset	0	Hz		Frequency Offset	0	Hz		Frequency Offset	0	Hz
Span	1000000000	Hz		Span	1000000000	Hz		Span	1000000000	Hz		Span	1000000000	Hz
Ref Level	0,0	dB		Ref Level	0,0	°		Ref Level	0,0	dB		Ref Level	0,0	°
Ref Offset	0,0	dB		Ref Offset	- - -			Ref Offset	0,0	dB		Ref Offset	- - -	
Ref Position	1			Ref Position	0,5			Ref Position	1			Ref Position	0,5	
Range	20	dB		Range	360	°		Range	10	dB		Range	360	°
RF Attenuation	Manual			RF Attenuation	Manual			RF Attenuation	Manual			RF Attenuation	Manual	
RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB
Preamplifier	Off			Preamplifier	Off			Preamplifier	Off			Preamplifier	Off	
RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm	
RBW	10000	Hz		RBW	10000	Hz		RBW	10000	Hz		RBW	10000	Hz
SWT	0,125	s		SWT	0,125	s		SWT	0,125	s		SWT	0,125	s
Trigger Mode	Free Run			Trigger Mode	Free Run			Trigger Mode	Free Run			Trigger Mode	Free Run	
Trigger Level	- - -			Trigger Level	- - -			Trigger Level	- - -			Trigger Level	- - -	
Trigger Delay	- - -			Trigger Delay	- - -			Trigger Delay	- - -			Trigger Delay	- - -	
Trace Mode	Clear / Write			Trace Mode	Clear / Write			Trace Mode	Clear / Write			Trace Mode	Clear / Write	
Trace Detector	Sample			Trace Detector	Sample			Trace Detector	Sample			Trace Detector	Sample	
Limit Line 1	- - -			Limit Line 1	- - -			Limit Line 1	- - -			Limit Line 1	- - -	
Limit Line 2	- - -			Limit Line 2	- - -			Limit Line 2	- - -			Limit Line 2	- - -	
Operator	- - -			Operator	- - -			Operator	- - -			Operator	- - -	
Result Limit Line 1	- - -			Result Limit Line 1	- - -			Result Limit Line 1	- - -			Result Limit Line 1	- - -	
Result Limit Line 2	- - -			Result Limit Line 2	- - -			Result Limit Line 2	- - -			Result Limit Line 2	- - -	
Average Count	- - -			Average Count	- - -			Average Count	- - -			Average Count	- - -	
						

Freq. [Hz]	Magnitude [dB]	 		Freq. [Hz]	Phase [°]	 		Freq. [Hz]	Magnitude [dB]	 		Freq. [Hz]	Phase [°]	 
2000000000	-6,09384155273438	 		2000000000	73,2327499389648	 		2000000000	-2,25038766860962	 		2000000000	65,9558715820313	 
2001587301,5873	-6,09386682510376	 		2001587301,5873	73,2330322265625	 		2001587301,5873	-2,25034737586975	 		2001587301,5873	65,956184387207	 
2003174603,1746	-6,02411460876465	 		2003174603,1746	72,4562072753906	 		2003174603,1746	-2,36096501350403	 		2003174603,1746	65,1015167236328	 
2004761904,7619	-5,95396947860718	 		2004761904,7619	71,6888046264648	 		2004761904,7619	-2,45110678672791	 		2004761904,7619	64,5963897705078	 
2006349206,34921	-5,90666580200195	 		2006349206,34921	70,9069366455078	 		2006349206,34921	-2,55168008804321	 		2006349206,34921	64,0679168701172	 
2007936507,93651	-5,8327260017395	 		2007936507,93651	69,9639434814453	 		2007936507,93651	-2,65400815010071	 		2007936507,93651	63,5410194396973	 
2009523809,52381	-5,78702116012573	 		2009523809,52381	69,0234298706055	 		2009523809,52381	-2,75579881668091	 		2009523809,52381	63,3638305664063	 
2011111111,11111	-5,75464105606079	 		2011111111,11111	68,0353546142578	 		2011111111,11111	-2,85626578330994	 		2011111111,11111	63,012752532959	 
2012698412,69841	-5,71793603897095	 		2012698412,69841	67,0422821044922	 		2012698412,69841	-2,95287179946899	 		2012698412,69841	63,0130386352539	 
2014285714,28571	-5,68744802474976	 		2014285714,28571	66,0280075073242	 		2014285714,28571	-3,04278087615967	 		2014285714,28571	62,9676284790039	 
2015873015,87302	-5,6707558631897	 		2015873015,87302	64,8712921142578	 		2015873015,87302	-3,124431848526	 		2015873015,87302	63,0535621643066	 
2017460317,46032	-5,66869640350342	 		2017460317,46032	63,7602958679199	 		2017460317,46032	-3,19650959968567	 		2017460317,46032	63,1210250854492	 
2019047619,04762	-5,68279075622559	 		2019047619,04762	62,6440849304199	 		2019047619,04762	-3,25217294692993	 		2019047619,04762	63,3089256286621	 
2020634920,63492	-5,69666719436646	 		2020634920,63492	61,5108261108398	 		2020634920,63492	-3,29642391204834	 		2020634920,63492	63,583065032959	 
2022222222,22222	-5,73140716552734	 		2022222222,22222	60,2637329101563	 		2022222222,22222	-3,32323431968689	 		2022222222,22222	63,9541702270508	 
2023809523,80952	-5,77190494537354	 		2023809523,80952	59,167163848877	 		2023809523,80952	-3,33048033714294	 		2023809523,80952	64,3952865600586	 
2025396825,39683	-5,83082389831543	 		2025396825,39683	58,009220123291	 		2025396825,39683	-3,31724095344543	 		2025396825,39683	64,8753356933594	 
2026984126,98413	-5,91165924072266	 		2026984126,98413	56,7311859130859	 		2026984126,98413	-3,28402996063232	 		2026984126,98413	65,2951965332031	 
2028571428,57143	-5,99486637115479	 		2028571428,57143	55,6618232727051	 		2028571428,57143	-3,23120594024658	 		2028571428,57143	65,6447143554688	 
2030158730,15873	-6,09699821472168	 		2030158730,15873	54,5190048217773	 		2030158730,15873	-3,15663743019104	 		2030158730,15873	65,9090728759766	 
2031746031,74603	-6,20686054229736	 		2031746031,74603	53,4447364807129	 		2031746031,74603	-3,06392526626587	 		2031746031,74603	66,2602996826172	 
2033333333,33333	-6,35281133651733	 		2033333333,33333	52,3616256713867	 		2033333333,33333	-2,95121383666992	 		2033333333,33333	66,4398956298828	 
2034920634,92063	-6,49395513534546	 		2034920634,92063	51,5060691833496	 		2034920634,92063	-2,82562494277954	 		2034920634,92063	66,4387588500977	 
2036507936,50794	-6,65324592590332	 		2036507936,50794	50,581127166748	 		2036507936,50794	-2,68833065032959	 		2036507936,50794	66,4821624755859	 
2038095238,09524	-6,83151578903198	 		2038095238,09524	49,7573623657227	 		2038095238,09524	-2,54300236701965	 		2038095238,09524	66,2641754150391	 
2039682539,68254	-7,01145696640015	 		2039682539,68254	49,1214790344238	 		2039682539,68254	-2,39463686943054	 		2039682539,68254	65,7404251098633	 
2041269841,26984	-7,21606779098511	 		2041269841,26984	48,6388893127441	 		2041269841,26984	-2,24460291862488	 		2041269841,26984	65,2788009643555	 
2042857142,85714	-7,41312980651855	 		2042857142,85714	48,1740570068359	 		2042857142,85714	-2,10152125358582	 		2042857142,85714	64,6198348999023	 
2044444444,44444	-7,61048126220703	 		2044444444,44444	48,0124626159668	 		2044444444,44444	-1,96541321277618	 		2044444444,44444	63,8315124511719	 
2046031746,03175	-7,81816148757935	 		2046031746,03175	47,9396362304688	 		2046031746,03175	-1,84168314933777	 		2046031746,03175	62,8432884216309	 
2047619047,61905	-8,00142383575439	 		2047619047,61905	48,0718002319336	 		2047619047,61905	-1,72970056533813	 		2047619047,61905	61,9640731811523	 
2049206349,20635	-8,19146060943604	 		2049206349,20635	48,1672325134277	 		2049206349,20635	-1,63567078113556	 		2049206349,20635	60,8238983154297	 
2050793650,79365	-8,35219669342041	 		2050793650,79365	48,5347290039063	 		2050793650,79365	-1,55604982376099	 		2050793650,79365	59,6367416381836	 
2052380952,38095	-8,52260208129883	 		2052380952,38095	49,1419258117676	 		2052380952,38095	-1,49442887306213	 		2052380952,38095	58,4730796813965	 
2053968253,96825	-8,63857936859131	 		2053968253,96825	49,8126640319824	 		2053968253,96825	-1,44707226753235	 		2053968253,96825	57,4398803710938	 
2055555555,55556	-8,73003482818604	 		2055555555,55556	50,3530082702637	 		2055555555,55556	-1,41474103927612	 		2055555555,55556	56,1912422180176	 
2057142857,14286	-8,79393577575684	 		2057142857,14286	51,1341209411621	 		2057142857,14286	-1,39507555961609	 		2057142857,14286	55,0033264160156	 
2058730158,73016	-8,83349418640137	 		2058730158,73016	51,8635864257813	 		2058730158,73016	-1,38445401191711	 		2058730158,73016	54,1418609619141	 
2060317460,31746	-8,84332275390625	 		2060317460,31746	52,4340591430664	 		2060317460,31746	-1,3844028711319	 		2060317460,31746	52,8946151733398	 
2061904761,90476	-8,82230377197266	 		2061904761,90476	53,0595054626465	 		2061904761,90476	-1,39059913158417	 		2061904761,90476	52,0103759765625	 
2063492063,49206	-8,79486656188965	 		2063492063,49206	53,4276351928711	 		2063492063,49206	-1,40258169174194	 		2063492063,49206	51,0249099731445	 
2065079365,07937	-8,74537467956543	 		2065079365,07937	53,8112487792969	 		2065079365,07937	-1,41879844665527	 		2065079365,07937	50,1869926452637	 
2066666666,66667	-8,67545413970947	 		2066666666,66667	54,1797103881836	 		2066666666,66667	-1,43496990203857	 		2066666666,66667	49,1802253723145	 
2068253968,25397	-8,58795833587646	 		2068253968,25397	54,3051986694336	 		2068253968,25397	-1,4538471698761	 		2068253968,25397	48,4935760498047	 
2069841269,84127	-8,49151992797852	 		2069841269,84127	54,2669143676758	 		2069841269,84127	-1,47221279144287	 		2069841269,84127	47,6176719665527	 
2071428571,42857	-8,39596748352051	 		2071428571,42857	54,1515655517578	 		2071428571,42857	-1,49037611484528	 		2071428571,42857	46,846752166748	 
2073015873,01587	-8,29194736480713	 		2073015873,01587	54,0886764526367	 		2073015873,01587	-1,50988757610321	 		2073015873,01587	46,059700012207	 
2074603174,60317	-8,18027114868164	 		2074603174,60317	53,5773887634277	 		2074603174,60317	-1,52775037288666	 		2074603174,60317	45,3325042724609	 
