Name	Sweep (T1)			Name	Sweep (T2)			Name	Sweep (T3)			Name	Sweep (T4)	
Date	2 / 6 / 2012			Date	2 / 6 / 2012			Date	2 / 6 / 2012			Date	2 / 6 / 2012	
Time	10:46:09			Time	10:46:09			Time	10:46:09			Time	10:46:09	
Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028			Instrument	FSH8 - 106240/028	
Firmware Version	V1.55			Firmware Version	V1.55			Firmware Version	V1.55			Firmware Version	V1.55	
Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer			Instrument Mode	Network Analyzer	
Meas Mode	Vector			Meas Mode	Vector			Meas Mode	Vector			Meas Mode	Vector	
Bridge Mode	S11			Bridge Mode	S11			Bridge Mode	S21			Bridge Mode	S21	
Format	Magnitude			Format	Phase			Format	Magnitude			Format	Phase	
Calibration State	Interp			Calibration State	Interp			Calibration State	Interp			Calibration State	Interp	
Aperture Steps	- - -			Aperture Steps	- - -			Aperture Steps	- - -			Aperture Steps	- - -	
Uplink	- - -			Uplink	- - -			Uplink	- - -			Uplink	- - -	
Downlink	- - -			Downlink	- - -			Downlink	- - -			Downlink	- - -	
Channel	- - -			Channel	- - -			Channel	- - -			Channel	- - -	
Phase Unwrap	0			Phase Unwrap	0			Phase Unwrap	0			Phase Unwrap	0	
Suppression	Off			Suppression	Off			Suppression	Off			Suppression	Off	
Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz		Center Frequency	2500000000	Hz
Frequency Offset	0	Hz		Frequency Offset	0	Hz		Frequency Offset	0	Hz		Frequency Offset	0	Hz
Span	1000000000	Hz		Span	1000000000	Hz		Span	1000000000	Hz		Span	1000000000	Hz
Ref Level	0,0	dB		Ref Level	0,0	°		Ref Level	0,0	dB		Ref Level	0,0	°
Ref Offset	0,0	dB		Ref Offset	- - -			Ref Offset	0,0	dB		Ref Offset	- - -	
Ref Position	1			Ref Position	0,5			Ref Position	1			Ref Position	0,5	
Range	20	dB		Range	360	°		Range	10	dB		Range	360	°
RF Attenuation	Manual			RF Attenuation	Manual			RF Attenuation	Manual			RF Attenuation	Manual	
RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB
Preamplifier	Off			Preamplifier	Off			Preamplifier	Off			Preamplifier	Off	
RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm	
RBW	10000	Hz		RBW	10000	Hz		RBW	10000	Hz		RBW	10000	Hz
SWT	0,125	s		SWT	0,125	s		SWT	0,125	s		SWT	0,125	s
Trigger Mode	Free Run			Trigger Mode	Free Run			Trigger Mode	Free Run			Trigger Mode	Free Run	
Trigger Level	- - -			Trigger Level	- - -			Trigger Level	- - -			Trigger Level	- - -	
Trigger Delay	- - -			Trigger Delay	- - -			Trigger Delay	- - -			Trigger Delay	- - -	
Trace Mode	Clear / Write			Trace Mode	Clear / Write			Trace Mode	Clear / Write			Trace Mode	Clear / Write	
Trace Detector	Sample			Trace Detector	Sample			Trace Detector	Sample			Trace Detector	Sample	
Limit Line 1	- - -			Limit Line 1	- - -			Limit Line 1	- - -			Limit Line 1	- - -	
Limit Line 2	- - -			Limit Line 2	- - -			Limit Line 2	- - -			Limit Line 2	- - -	
Operator	- - -			Operator	- - -			Operator	- - -			Operator	- - -	
Result Limit Line 1	- - -			Result Limit Line 1	- - -			Result Limit Line 1	- - -			Result Limit Line 1	- - -	
Result Limit Line 2	- - -			Result Limit Line 2	- - -			Result Limit Line 2	- - -			Result Limit Line 2	- - -	
Average Count	- - -			Average Count	- - -			Average Count	- - -			Average Count	- - -	
						

Freq. [Hz]	Magnitude [dB]	 		Freq. [Hz]	Phase [°]	 		Freq. [Hz]	Magnitude [dB]	 		Freq. [Hz]	Phase [°]	 
2000000000	-15,0636672973633	 		2000000000	-163,295715332031	 		2000000000	-0,58482551574707	 		2000000000	-116,681213378906	 
2001587301,5873	-15,0635290145874	 		2001587301,5873	-163,295227050781	 		2001587301,5873	-0,584840297698975	 		2001587301,5873	-116,680923461914	 
2003174603,1746	-15,4444952011108	 		2003174603,1746	-164,62028503418	 		2003174603,1746	-0,544174432754517	 		2003174603,1746	-117,473579406738	 
2004761904,7619	-15,7615652084351	 		2004761904,7619	-165,725799560547	 		2004761904,7619	-0,523983895778656	 		2004761904,7619	-118,220916748047	 
2006349206,34921	-16,1364593505859	 		2006349206,34921	-166,560134887695	 		2006349206,34921	-0,509360492229462	 		2006349206,34921	-119,010780334473	 
2007936507,93651	-16,5323905944824	 		2007936507,93651	-167,238647460938	 		2007936507,93651	-0,504866540431976	 		2007936507,93651	-119,823913574219	 
2009523809,52381	-16,964282989502	 		2009523809,52381	-167,396697998047	 		2009523809,52381	-0,508843421936035	 		2009523809,52381	-120,482696533203	 
2011111111,11111	-17,3872051239014	 		2011111111,11111	-167,162750244141	 		2011111111,11111	-0,521008491516113	 		2011111111,11111	-121,295265197754	 
2012698412,69841	-17,8414878845215	 		2012698412,69841	-166,459808349609	 		2012698412,69841	-0,539016723632813	 		2012698412,69841	-121,867858886719	 
2014285714,28571	-18,3249187469482	 		2014285714,28571	-164,816955566406	 		2014285714,28571	-0,563876032829285	 		2014285714,28571	-122,613250732422	 
2015873015,87302	-18,7286014556885	 		2015873015,87302	-162,546646118164	 		2015873015,87302	-0,591612160205841	 		2015873015,87302	-123,161987304688	 
2017460317,46032	-19,0697803497314	 		2017460317,46032	-159,488571166992	 		2017460317,46032	-0,622717380523682	 		2017460317,46032	-123,865455627441	 
2019047619,04762	-19,3148002624512	 		2019047619,04762	-155,911437988281	 		2019047619,04762	-0,654627084732056	 		2019047619,04762	-124,304893493652	 
2020634920,63492	-19,4378471374512	 		2020634920,63492	-151,539306640625	 		2020634920,63492	-0,685827851295471	 		2020634920,63492	-124,834053039551	 
2022222222,22222	-19,3911952972412	 		2022222222,22222	-147,217391967773	 		2022222222,22222	-0,715615749359131	 		2022222222,22222	-125,294021606445	 
2023809523,80952	-19,15696144104	 		2023809523,80952	-142,943252563477	 		2023809523,80952	-0,742612540721893	 		2023809523,80952	-125,647789001465	 
2025396825,39683	-18,7945976257324	 		2025396825,39683	-138,888549804688	 		2025396825,39683	-0,766236782073975	 		2025396825,39683	-126,128158569336	 
2026984126,98413	-18,2996654510498	 		2026984126,98413	-135,65217590332	 		2026984126,98413	-0,785876393318176	 		2026984126,98413	-126,372718811035	 
2028571428,57143	-17,6786785125732	 		2028571428,57143	-133,404998779297	 		2028571428,57143	-0,804545521736145	 		2028571428,57143	-126,874710083008	 
2030158730,15873	-17,0365295410156	 		2030158730,15873	-131,662689208984	 		2030158730,15873	-0,815724492073059	 		2030158730,15873	-127,31421661377	 
2031746031,74603	-16,4142799377441	 		2031746031,74603	-130,691452026367	 		2031746031,74603	-0,828530788421631	 		2031746031,74603	-127,601089477539	 
2033333333,33333	-15,7746286392212	 		2033333333,33333	-130,323867797852	 		2033333333,33333	-0,839257597923279	 		2033333333,33333	-128,041473388672	 
2034920634,92063	-15,1927242279053	 		2034920634,92063	-130,534774780273	 		2034920634,92063	-0,849910259246826	 		2034920634,92063	-128,544403076172	 
2036507936,50794	-14,6288137435913	 		2036507936,50794	-131,221527099609	 		2036507936,50794	-0,863311767578125	 		2036507936,50794	-128,918869018555	 
2038095238,09524	-14,0924243927002	 		2038095238,09524	-132,636184692383	 		2038095238,09524	-0,876518845558167	 		2038095238,09524	-129,313674926758	 
2039682539,68254	-13,624062538147	 		2039682539,68254	-133,701293945313	 		2039682539,68254	-0,897113382816315	 		2039682539,68254	-129,993103027344	 
2041269841,26984	-13,1711111068726	 		2041269841,26984	-135,309921264648	 		2041269841,26984	-0,921314835548401	 		2041269841,26984	-130,565872192383	 
2042857142,85714	-12,7595634460449	 		2042857142,85714	-137,084884643555	 		2042857142,85714	-0,949633538722992	 		2042857142,85714	-130,939590454102	 
2044444444,44444	-12,3963232040405	 		2044444444,44444	-139,131393432617	 		2044444444,44444	-0,982526183128357	 		2044444444,44444	-131,401123046875	 
2046031746,03175	-12,0802774429321	 		2046031746,03175	-140,922012329102	 		2046031746,03175	-1,02122604846954	 		2046031746,03175	-131,774078369141	 
2047619047,61905	-11,7846422195435	 		2047619047,61905	-143,128387451172	 		2047619047,61905	-1,06177222728729	 		2047619047,61905	-132,169860839844	 
2049206349,20635	-11,5523223876953	 		2049206349,20635	-145,168151855469	 		2049206349,20635	-1,1069324016571	 		2049206349,20635	-132,586318969727	 
2050793650,79365	-11,3414649963379	 		2050793650,79365	-147,141220092773	 		2050793650,79365	-1,15121018886566	 		2050793650,79365	-132,937805175781	 
2052380952,38095	-11,1335525512695	 		2052380952,38095	-149,130386352539	 		2052380952,38095	-1,19742250442505	 		2052380952,38095	-133,225173950195	 
2053968253,96825	-10,9690227508545	 		2053968253,96825	-151,162567138672	 		2053968253,96825	-1,2396125793457	 		2053968253,96825	-133,207794189453	 
2055555555,55556	-10,8541402816772	 		2055555555,55556	-153,234222412109	 		2055555555,55556	-1,27786111831665	 		2055555555,55556	-133,533981323242	 
2057142857,14286	-10,7329416275024	 		2057142857,14286	-155,106231689453	 		2057142857,14286	-1,3088413476944	 		2057142857,14286	-133,515762329102	 
2058730158,73016	-10,6657838821411	 		2058730158,73016	-157,187927246094	 		2058730158,73016	-1,33150625228882	 		2058730158,73016	-133,428558349609	 
2060317460,31746	-10,6098804473877	 		2060317460,31746	-159,19499206543	 		2060317460,31746	-1,34708690643311	 		2060317460,31746	-133,51383972168	 
2061904761,90476	-10,5821962356567	 		2061904761,90476	-160,847717285156	 		2061904761,90476	-1,35046172142029	 		2061904761,90476	-133,471313476563	 
2063492063,49206	-10,5615167617798	 		2063492063,49206	-162,683609008789	 		2063492063,49206	-1,34368252754211	 		2063492063,49206	-133,537155151367	 
2065079365,07937	-10,5658760070801	 		2065079365,07937	-164,503067016602	 		2065079365,07937	-1,32608127593994	 		2065079365,07937	-133,407440185547	 
2066666666,66667	-10,5922203063965	 		2066666666,66667	-166,072708129883	 		2066666666,66667	-1,29666769504547	 		2066666666,66667	-133,471542358398	 
2068253968,25397	-10,6275873184204	 		2068253968,25397	-167,691207885742	 		2068253968,25397	-1,25599825382233	 		2068253968,25397	-133,385452270508	 
2069841269,84127	-10,7002573013306	 		2069841269,84127	-169,04035949707	 		2069841269,84127	-1,20922434329987	 		2069841269,84127	-133,600158691406	 
2071428571,42857	-10,7849435806274	 		2071428571,42857	-170,54443359375	 		2071428571,42857	-1,15242755413055	 		2071428571,42857	-133,754791259766	 
2073015873,01587	-10,8731861114502	 		2073015873,01587	-171,748977661133	 		2073015873,01587	-1,08992946147919	 		2073015873,01587	-133,868682861328	 
2074603174,60317	-10,9892873764038	 		2074603174,60317	-173,099700927734	 		2074603174,60317	-1,02448356151581	 		2074603174,60317	-134,150283813477	 
2076190476,19048	-11,1078090667725	 		2076190476,19048	-174,216705322266	 		2076190476,19048	-0,955922663211823	 		2076190476,19048	-134,459869384766	 
2077777777,77778	-11,2404279708862	 		2077777777,77778	-175,09342956543	 		2077777777,77778	-0,890508890151978	 		2077777777,77778	-134,873733520508	 
2079365079,36508	-11,3960342407227	 		2079365079,36508	-175,903274536133	 		2079365079,36508	-0,824399828910828	 		2079365079,36508	-135,400619506836	 
2080952380,95238	-11,5581798553467	 		2080952380,95238	-176,797988891602	 		2080952380,95238	-0,764167726039886	 		2080952380,95238	-135,882064819336	 
2082539682,53968	-11,7254314422607	 		2082539682,53968	-177,204254150391	 		2082539682,53968	-0,706733226776123	 		2082539682,53968	-136,495086669922	 
2084126984,12698	-11,8968496322632	 		2084126984,12698	-177,684722900391	 		2084126984,12698	-0,656698524951935	 		2084126984,12698	-137,088821411133	 
2085714285,71429	-12,0681228637695	 		2085714285,71429	-178,100372314453	 		2085714285,71429	-0,612243175506592	 		2085714285,71429	-137,746398925781	 
2087301587,30159	-12,248176574707	 		2087301587,30159	-178,149887084961	 		2087301587,30159	-0,577209413051605	 		2087301587,30159	-138,449798583984	 
2088888888,88889	-12,428750038147	 		2088888888,88889	-177,987915039063	 		2088888888,88889	-0,544449210166931	 		2088888888,88889	-139,217788696289	 
2090476190,47619	-12,5811824798584	 		2090476190,47619	-177,640762329102	 		2090476190,47619	-0,516274511814117	 		2090476190,47619	-139,598968505859	 
2092063492,06349	-12,7584266662598	 		2092063492,06349	-177,431900024414	 		2092063492,06349	-0,501920461654663	 		2092063492,06349	-140,551742553711	 
2093650793,65079	-12,8894948959351	 		2093650793,65079	-176,750076293945	 		2093650793,65079	-0,48962590098381	 		2093650793,65079	-141,260513305664	 
2095238095,2381	-13,0203676223755	 		2095238095,2381	-175,961196899414	 		2095238095,2381	-0,481143623590469	 		2095238095,2381	-142,091796875	 
2096825396,8254	-13,0999670028687	 		2096825396,8254	-175,170669555664	 		2096825396,8254	-0,480387926101685	 		2096825396,8254	-142,94905090332	 
2098412698,4127	-13,1654758453369	 		2098412698,4127	-174,076187133789	 		2098412698,4127	-0,480315268039703	 		2098412698,4127	-143,504333496094	 
2100000000	-13,2144823074341	 		2100000000	-173,117416381836	 		2100000000	-0,486363470554352	 		2100000000	-144,227996826172	 
2101587301,5873	-13,2251853942871	 		2101587301,5873	-171,896026611328	 		2101587301,5873	-0,495590180158615	 		2101587301,5873	-144,844085693359	 
2103174603,1746	-13,177134513855	 		2103174603,1746	-170,668441772461	 		2103174603,1746	-0,506469309329987	 		2103174603,1746	-145,543731689453	 
2104761904,7619	-13,127366065979	 		2104761904,7619	-169,493377685547	 		2104761904,7619	-0,521104514598846	 		2104761904,7619	-146,353302001953	 
2106349206,34921	-13,0245046615601	 		2106349206,34921	-168,525054931641	 		2106349206,34921	-0,540956139564514	 		2106349206,34921	-147,016418457031	 
2107936507,93651	-12,8960132598877	 		2107936507,93651	-167,645858764648	 		2107936507,93651	-0,559142470359802	 		2107936507,93651	-147,632202148438	 
2109523809,52381	-12,72642993927	 		2109523809,52381	-166,717361450195	 		2109523809,52381	-0,580934643745422	 		2109523809,52381	-148,333114624023	 
2111111111,11111	-12,5486545562744	 		2111111111,11111	-165,99543762207	 		2111111111,11111	-0,607612073421478	 		2111111111,11111	-148,908828735352	 
2112698412,69841	-12,3505954742432	 		2112698412,69841	-165,598861694336	 		2112698412,69841	-0,636055290699005	 		2112698412,69841	-149,713638305664	 
2114285714,28571	-12,148325920105	 		2114285714,28571	-165,210998535156	 		2114285714,28571	-0,664858102798462	 		2114285714,28571	-150,205581665039	 
2115873015,87302	-11,9131422042847	 		2115873015,87302	-164,881118774414	 		2115873015,87302	-0,696176648139954	 		2115873015,87302	-150,796997070313	 
2117460317,46032	-11,6879768371582	 		2117460317,46032	-164,698211669922	 		2117460317,46032	-0,72915381193161	 		2117460317,46032	-151,346832275391	 
2119047619,04762	-11,4619951248169	 		2119047619,04762	-165,110870361328	 		2119047619,04762	-0,765329897403717	 		2119047619,04762	-151,939437866211	 
2120634920,63492	-11,2314310073853	 		2120634920,63492	-165,335052490234	 		2120634920,63492	-0,801546573638916	 		2120634920,63492	-152,297073364258	 
2122222222,22222	-11,0168151855469	 		2122222222,22222	-165,786605834961	 		2122222222,22222	-0,840074062347412	 		2122222222,22222	-152,946624755859	 
2123809523,80952	-10,8083753585815	 		2123809523,80952	-166,074584960938	 		2123809523,80952	-0,880419075489044	 		2123809523,80952	-153,540557861328	 
2125396825,39683	-10,5880851745605	 		2125396825,39683	-166,745407104492	 		2125396825,39683	-0,922512471675873	 		2125396825,39683	-154,092391967773	 
2126984126,98413	-10,4057788848877	 		2126984126,98413	-167,431304931641	 		2126984126,98413	-0,96532541513443	 		2126984126,98413	-154,42854309082	 
2128571428,57143	-10,193995475769	 		2128571428,57143	-168,096755981445	 		2128571428,57143	-1,00995004177094	 		2128571428,57143	-155,057464599609	 
2130158730,15873	-10,0159940719604	 		2130158730,15873	-169,138809204102	 		2130158730,15873	-1,05491507053375	 		2130158730,15873	-155,373947143555	 
2131746031,74603	-9,84549427032471	 		2131746031,74603	-170,008224487305	 		2131746031,74603	-1,10080945491791	 		2131746031,74603	-155,894470214844	 
2133333333,33333	-9,68821334838867	 		2133333333,33333	-171,129776000977	 		2133333333,33333	-1,14573204517365	 		2133333333,33333	-156,186492919922	 
2134920634,92063	-9,53243923187256	 		2134920634,92063	-172,109451293945	 		2134920634,92063	-1,19362926483154	 		2134920634,92063	-156,579681396484	 
2136507936,50794	-9,3993501663208	 		2136507936,50794	-173,068008422852	 		2136507936,50794	-1,24094307422638	 		2136507936,50794	-157,016616821289	 
2138095238,09524	-9,27969741821289	 		2138095238,09524	-174,220321655273	 		2138095238,09524	-1,28519773483276	 		2138095238,09524	-157,20280456543	 
2139682539,68254	-9,18451023101807	 		2139682539,68254	-175,407669067383	 		2139682539,68254	-1,32953763008118	 		2139682539,68254	-157,376037597656	 
2141269841,26984	-9,07742500305176	 		2141269841,26984	-176,478698730469	 		2141269841,26984	-1,3731427192688	 		2141269841,26984	-157,808364868164	 
2142857142,85714	-8,98333072662354	 		2142857142,85714	-177,628189086914	 		2142857142,85714	-1,41543471813202	 		2142857142,85714	-157,928588867188	 
2144444444,44444	-8,92228698730469	 		2144444444,44444	-178,768859863281	 		2144444444,44444	-1,45615220069885	 		2144444444,44444	-158,187026977539	 
2146031746,03175	-8,87192344665527	 		2146031746,03175	179,942047119141	 		2146031746,03175	-1,49256908893585	 		2146031746,03175	-158,216064453125	 
