RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB
Preamplifier	Off			Preamplifier	Off			Preamplifier	Off			Preamplifier	Off	
RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm	
2026984126,98413	-4,65091228485107	 		2026984126,98413	70,0301055908203	 		2026984126,98413	-3,41686320304871	 		2026984126,98413	84,0629119873047	 
2028571428,57143	-4,65697813034058	 		2028571428,57143	68,932731628418	 		2028571428,57143	-3,41272234916687	 		2028571428,57143	84,6325759887695	 
2030158730,15873	-4,67140340805054	 		2030158730,15873	67,9166870117188	 		2030158730,15873	-3,38074588775635	 		2030158730,15873	85,2702102661133	 
2031746031,74603	-4,70486259460449	 		2031746031,74603	66,7768478393555	 		2031746031,74603	-3,32841515541077	 		2031746031,74603	85,885856628418	 
2033333333,33333	-4,75100994110107	 		2033333333,33333	65,6417770385742	 		2033333333,33333	-3,25018167495728	 		2033333333,33333	86,4377288818359	 
2034920634,92063	-4,80493783950806	 		2034920634,92063	64,5998611450195	 		2034920634,92063	-3,15210127830505	 		2034920634,92063	86,766471862793	 
2036507936,50794	-4,86868047714233	 		2036507936,50794	63,7203712463379	 		2036507936,50794	-3,03344798088074	 		2036507936,50794	87,3136596679688	 
2038095238,09524	-4,95506858825684	 		2038095238,09524	62,6436462402344	 		2038095238,09524	-2,90004873275757	 		2038095238,09524	87,4268341064453	 
2039682539,68254	-5,04138231277466	 		2039682539,68254	61,7063026428223	 		2039682539,68254	-2,75719475746155	 		2039682539,68254	87,4283065795898	 
2041269841,26984	-5,15428781509399	 		2041269841,26984	60,9443893432617	 		2041269841,26984	-2,60426187515259	 		2041269841,26984	87,3628463745117	 
2042857142,85714	-5,26500415802002	 		2042857142,85714	60,1397552490234	 		2042857142,85714	-2,44803357124329	 		2042857142,85714	87,0344619750977	 
2044444444,44444	-5,38271856307983	 		2044444444,44444	59,3856201171875	 		2044444444,44444	-2,29380989074707	 		2044444444,44444	86,6192016601563	 
2046031746,03175	-5,51893663406372	 		2046031746,03175	58,7971000671387	 		2046031746,03175	-2,14311599731445	 		2046031746,03175	86,0263671875	 
2047619047,61905	-5,64672756195068	 		2047619047,61905	58,3510780334473	 		2047619047,61905	-2,00271964073181	 		2047619047,61905	85,4557876586914	 
2049206349,20635	-5,78092384338379	 		2049206349,20635	57,917537689209	 		2049206349,20635	-1,87388014793396	 		2049206349,20635	84,4713973999023	 
2050793650,79365	-5,91402769088745	 		2050793650,79365	57,6335182189941	 		2050793650,79365	-1,75608563423157	 		2050793650,79365	83,4373016357422	 
2052380952,38095	-6,06801891326904	 		2052380952,38095	57,5643463134766	 		2052380952,38095	-1,65710067749023	 		2052380952,38095	82,4489212036133	 
2053968253,96825	-6,18146371841431	 		2053968253,96825	57,5624923706055	 		2053968253,96825	-1,57327008247375	 		2053968253,96825	81,5696334838867	 
2055555555,55556	-6,28904008865356	 		2055555555,55556	57,6886520385742	 		2055555555,55556	-1,50377476215363	 		2055555555,55556	80,4744567871094	 
