RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB
Preamplifier	Off			Preamplifier	Off			Preamplifier	Off			Preamplifier	Off	
RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm	
2017460317,46032	-18,7496356964111	 		2017460317,46032	134,503631591797	 		2017460317,46032	-7,69110545516014E-02	 		2017460317,46032	101,78337097168	 
2019047619,04762	-18,953685760498	 		2019047619,04762	128,403091430664	 		2019047619,04762	-0,13847590982914	 		2019047619,04762	101,431983947754	 
2020634920,63492	-19,1787872314453	 		2020634920,63492	121,971603393555	 		2020634920,63492	-0,202382639050484	 		2020634920,63492	101,144065856934	 
2022222222,22222	-19,3938636779785	 		2022222222,22222	115,213577270508	 		2022222222,22222	-0,264746993780136	 		2022222222,22222	101,078239440918	 
2023809523,80952	-19,6448173522949	 		2023809523,80952	108,631851196289	 		2023809523,80952	-0,3222995698452	 		2023809523,80952	101,143447875977	 
2025396825,39683	-19,8969230651855	 		2025396825,39683	101,692474365234	 		2025396825,39683	-0,371363937854767	 		2025396825,39683	101,252853393555	 
2026984126,98413	-20,1109981536865	 		2026984126,98413	94,5148620605469	 		2026984126,98413	-0,411035895347595	 		2026984126,98413	101,318565368652	 
2028571428,57143	-20,3416328430176	 		2028571428,57143	87,188720703125	 		2028571428,57143	-0,436333298683167	 		2028571428,57143	101,537857055664	 
2030158730,15873	-20,5795783996582	 		2030158730,15873	79,3018188476563	 		2030158730,15873	-0,448482125997543	 		2030158730,15873	101,823455810547	 
2031746031,74603	-20,7841472625732	 		2031746031,74603	71,5281066894531	 		2031746031,74603	-0,446402490139008	 		2031746031,74603	101,97834777832	 
2033333333,33333	-20,9437637329102	 		2033333333,33333	63,5898132324219	 		2033333333,33333	-0,427078664302826	 		2033333333,33333	102,153869628906	 
2034920634,92063	-21,1132144927979	 		2034920634,92063	55,2364501953125	 		2034920634,92063	-0,394764989614487	 		2034920634,92063	102,394577026367	 
2036507936,50794	-21,2602062225342	 		2036507936,50794	46,6038208007813	 		2036507936,50794	-0,35143306851387	 		2036507936,50794	102,548988342285	 
2038095238,09524	-21,3356113433838	 		2038095238,09524	37,9011535644531	 		2038095238,09524	-0,298487782478333	 		2038095238,09524	102,571578979492	 
2039682539,68254	-21,4118137359619	 		2039682539,68254	29,1828308105469	 		2039682539,68254	-0,239335983991623	 		2039682539,68254	102,463798522949	 
2041269841,26984	-21,4509220123291	 		2041269841,26984	20,2744445800781	 		2041269841,26984	-0,178685754537582	 		2041269841,26984	102,309387207031	 
2042857142,85714	-21,4226322174072	 		2042857142,85714	11,7579650878906	 		2042857142,85714	-0,120883271098137	 		2042857142,85714	102,113243103027	 
2044444444,44444	-21,3795356750488	 		2044444444,44444	2,54269409179688	 		2044444444,44444	-6,88541829586029E-02	 		2044444444,44444	101,674819946289	 
2046031746,03175	-21,3194446563721	 		2046031746,03175	-5,8568115234375	 		2046031746,03175	-2,71598398685455E-02	 		2046031746,03175	101,234733581543	 
2047619047,61905	-21,2291831970215	 		2047619047,61905	-14,5100708007813	 		2047619047,61905	1,30509398877621E-03	 		2047619047,61905	100,751861572266	 
2049206349,20635	-21,1253814697266	 		2049206349,20635	-22,8363037109375	 		2049206349,20635	1,68811827898026E-02	 		2049206349,20635	100,289276123047	 
2050793650,79365	-21,0206661224365	 		2050793650,79365	-31,1590576171875	 		2050793650,79365	1,76072418689728E-02	 		2050793650,79365	99,6767883300781	 
2052380952,38095	-20,9066333770752	 		2052380952,38095	-39,4299926757813	 		2052380952,38095	4,68852091580629E-03	 		2052380952,38095	99,1046905517578	 
2053968253,96825	-20,7909297943115	 		2053968253,96825	-47,4326477050781	 		2053968253,96825	-1,98751613497734E-02	 		2053968253,96825	98,5767364501953	 
2055555555,55556	-20,6933116912842	 		2055555555,55556	-55,2525329589844	 		2055555555,55556	-5,49584627151489E-02	 		2055555555,55556	98,1802444458008	 
2057142857,14286	-20,5665073394775	 		2057142857,14286	-63,2006530761719	 		2057142857,14286	-0,09490005671978	 		2057142857,14286	98,001350402832	 
2058730158,73016	-20,4888668060303	 		2058730158,73016	-70,7844543457031	 		2058730158,73016	-0,13894422352314	 		2058730158,73016	97,6083908081055	 
2060317460,31746	-20,3963012695313	 		2060317460,31746	-78,3122253417969	 		2060317460,31746	-0,18122710287571	 		2060317460,31746	97,5382537841797	 
2061904761,90476	-20,3441715240479	 		2061904761,90476	-85,8996887207031	 		2061904761,90476	-0,217983454465866	 		2061904761,90476	97,5156936645508	 
2063492063,49206	-20,2955589294434	 		2063492063,49206	-93,158203125	 		2063492063,49206	-0,246092066168785	 		2063492063,49206	97,4927291870117	 
2065079365,07937	-20,283353805542	 		2065079365,07937	-100,440795898438	 		2065079365,07937	-0,267147123813629	 		2065079365,07937	97,493049621582	 
